Site Name,County,Latitude,Longitutde,Sum,Animal,Bird,Bear,Elephant,Mink,Horned Bird,Water Spirit,No Tailed Turtle,LT Turtle,Tailed Quadruped,ST Quadruped,LT Quadrupeds,Linear,Unknown,Effigy,Dumbell,Club Linear,Chain,Conical,Bi-Conical,Oval,status ,,,,,,,,,,,,,,,,,,,,
Robert Glenn,Grant,42.965,-91.135,14,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,intact (protected),,,,,,,,,,,,,,,,,,,,
Sander's Creek,Grant,43.137,-90.722,9,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,unknown,,,,,,,,,,,,,,,,,,,,
Schnee,Grant,42.981,-91.068,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,unknown,,,,,,,,,,,,,,,,,,,,
Sentinel Ridge,Grant,42.983,-91.124,28,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,15,0,0,intact,,,,,,,,,,,,,,,,,,,,
Singular,Grant,43.029,-90.928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,destroyed,,,,,,,,,,,,,,,,,,,,
Ski Jump,Grant,42.839,-90.817,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,intact,,,,,,,,,,,,,,,,,,,,
South Point,Grant,42.995,-91.14,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,destroyed,,,,,,,,,,,,,,,,,,,,
Spook Hill,Grant,42.972,-91.116,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,unknown,,,,,,,,,,,,,,,,,,,,
Tertiary,Grant,42.75,-91.045,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,unknown,,,,,,,,,,,,,,,,,,,,
Uddelhoven #1,Grant,42.686,-90.844,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,partially destroyed,,,,,,,,,,,,,,,,,,,,
Uppena #1,Grant,42.702,-90.909,27,0,2,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,18,0,0,unknown,,,,,,,,,,,,,,,,,,,,
Uppena #2,Grant,42.703,-90.926,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,partially destroyed,,,,,,,,,,,,,,,,,,,,
Ursus,Grant,42.71,-90.886,59,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,48,0,0,destroyed,,,,,,,,,,,,,,,,,,,,
WA 12,Grant,42.69,-90.888,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,destroyed,,,,,,,,,,,,,,,,,,,,
Wyalusing A,Grant,42.949,-91.136,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,destroyed,,,,,,,,,,,,,,,,,,,,
Wyalusing,Grant,42.943,-91.136,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,destroyed,,,,,,,,,,,,,,,,,,,,
Yearous,Grant,42.685,-90.774,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,unknown,,,,,,,,,,,,,,,,,,,,
Cushman,Iowa,42.817,-90.329,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,destroyed,,,,,,,,,,,,,,,,,,,,
Fitzimmons,Iowa,42.905,-90.039,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,intact,,,,,,,,,,,,,,,,,,,,
Peniel Church,Iowa,42.829,-90.334,10,0,0,1,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,intact,,,,,,,,,,,,,,,,,,,,
Sawle,Iowa,43.153,-89.865,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,unknown,,,,,,,,,,,,,,,,,,,,
Sider-Culver,Iowa,43.161,-90.192,19,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,intact,,,,,,,,,,,,,,,,,,,,
Siamese Birds,Iowa,43.203,-90.356,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,partially destroyed,,,,,,,,,,,,,,,,,,,,
Whatsit,Iowa,43.197,-90.403,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,intact,,,,,,,,,,,,,,,,,,,,
Wolf Trap,Iowa,43.206,-90.329,13,0,0,0,0,0,0,0,0,0,0,0,1,>6,>1,0,0,0,0,>5,0,0,unknown,,,,,,,,,,,,,,,,,,,,
Anderson,Lafayette,42.58,-89.866,28,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,14,0,0,unknown,,,,,,,,,,,,,,,,,,,,
Kerber,Lafayette,42.66,-90.067,16,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,intact,,,,,,,,,,,,,,,,,,,,
Adams Street Bear,Dane,43.069,-89.407,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Arboretum Woods,Dane,43.047,-89.429,12,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
B-25,Dane,43.134,-89.394,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,intact,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ballweg,Dane,43.276,-89.681,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,intact,0,0,0,0,0,0,0,,,,,,,,,,,,,
