Site Name,County,Latitude,Longitutde,Sum,Animal,Bird,Bear,Elephant,Mink,Horned Bird,Water Spirit,No Tailed Turtle,LT Turtle,Tailed Quadruped,ST Quadruped,LT Quadrupeds,Linear,Unknown,Effigy,Dumbell,Club Linear,Chain,Conical,Bi-Conical,Oval,status ,,,,,,,,,,,,,,,,,,,,
Murphy Creek,Dane,43.055,-89.396,13,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Nine Mounds,Dane,43.004,-89.566,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Noe Springs,Dane,42.861,-89.029,70,1,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,4,1,49,partially destroyed,0,5,3,0,0,0,0,,,,,,,,,,,,,
Nondahl,Dane,43.022,-89.296,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
North,Dane,42.866,-89.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Observatory Hill,Dane,43.077,-89.419,5,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Oscar Meyer,Dane,43.112,-89.362,11,0,4,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Pheasant Branch Grove,Dane,43.131,-89.483,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Picnic Point Bay,Dane,43.077,-89.426,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Pine Bluff,Dane,43.04,-89.651,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Piper,Dane,43.055,-89.461,12,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Pleasant Springs,Dane,43.236,-89.163,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Roth,Dane,43.033,-89.228,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sauterhoff,Dane,43.14,-89.404,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,intact,0,0,0,0,0,0,0,,,,,,,,,,,,,
Shepards Marsh,Dane,43.193,-89.071,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
South Lake Waubesa,Dane,43.001,-89.316,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Spring Harbor,Dane,43.081,-89.481,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Stone Quarry,Dane,43.07,-89.461,5,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sugar Bush,Dane,43.11,-89.36,5,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sure Johnson,Dane,43.005,-89.287,28,1,1,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,2,0,6,partially destroyed (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
Third Lake,Dane,43.058,-89.341,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Tracks,Dane,43.102,-89.361,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
University Ridge,Dane,43.083,-89.428,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Uphoff Ridge,Dane,43.016,-89.358,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,intact,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vilas Circle Drive,Dane,43.069,-89.417,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,partially destroyed (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
Vilas Park,Dane,43.06,-89.419,11,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,partially destroyed (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
W. E. Colladay,Dane,42.964,-89.277,9,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,intact (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
Wa-che-et-cha,Dane,43.006,-89.307,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ward,Dane,43.042,-89.273,8,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,partially destroyed,0,1,0,0,0,0,0,,,,,,,,,,,,,
Warner Beach,Dane,43.127,-89.374,6,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
West Point,Dane,43.116,-89.465,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Williams South #1,Dane,42.972,-89.24,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Williams South #2,Dane,42.974,-89.236,11,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,partially destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
William's Woods,Dane,42.975,-89.233,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Williamson 1,Dane,43.032,-89.336,8,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Williamson Indian Cemetery,Dane,43.021,-89.327,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Willow Drive,Dane,43.079,-89.418,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,intact,1,0,2,0,0,0,0,,,,,,,,,,,,,
Wingra,Dane,43.053,-89.433,16,0,1,1,0,0,0,0,0,0,0,0,1,0,5,4,0,0,0,0,0,2,destroyed,1,0,0,0,0,0,0,,,,,,,,,,,,,
Wingra Park,Dane,43.049,-89.432,6,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Winnequah Road,Dane,43.073,-89.331,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Woodward Shores,Dane,43.13,-89.388,29,1,3,1,0,1,0,0,0,0,0,1,2,1,5,0,0,0,0,0,0,12,partially destroyed,0,0,0,0,0,0,1,,,,,,,,,,,,,
Woodward Shores East,Dane,43.13,-89.4,10,3,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Yahara #1,Dane,43.15,-89.414,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Yahara Heights,Dane,43.16,-89.386,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,partially destroyed,0,1,0,0,0,0,0,,,,,,,,,,,,,
Yahara Hoyt,Dane,43.055,-89.326,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Zoo,Dane,43.062,-89.416,16,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,11,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Army Ordinance Plant,Sauk,43.384,-89.729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Atkinson,Sauk,43.56,-89.721,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Badger,Sauk,43.204,-89.932,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bay,Sauk,43.375,-89.633,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Big Badger Curve,Sauk,43.355,-89.764,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Canfield,Sauk,43.469,-89.769,10,0,0,1,0,0,0,0,0,0,0,3,0,0,5,1,0,0,0,0,0,0,partially destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Carlson,Sauk,43.48,-89.673,5,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Case,Sauk,43.466,-89.755,13,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,3,destroyed,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
Cemetery,Sauk,43.446,-89.736,5,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,intact,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
Cook,Sauk,43.468,-89.693,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,intact,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cornfield,Sauk,43.466,-89.724,8,0,2,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cornfield #2,Sauk,43.469,-89.724,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Council House/Remington,Sauk,43.466,-89.735,68,0,2,7,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,50,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Crandall,Sauk,43.468,-89.73,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,partially destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Delton,Sauk,43.605,-89.808,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Devil's Lake #1,Sauk,43.411,-89.725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,intact (protected),0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
Devil's Lake #2,Sauk,43.432,-89.735,8,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,intact (protected),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Devil's Nose,Sauk,43.4,-89.668,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Draper's Creek,Sauk,43.453,-89.734,5,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Eagle (47-SK-0082) ,Sauk,43.38,-89.649,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,partially destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Eagle (47-SK-0094),Sauk,43.384,-89.645,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,partially destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Garrisonville Bear,Sauk,43.487,-89.624,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Glen Creek,Sauk,43.451,-89.708,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Glover,Sauk,43.465,-89.736,6,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Greenfield,Sauk,43.458,-89.713,4,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Greenfield Man Mound,Sauk,43.488,-89.671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,partially destroyed,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
Gross,Sauk,43.368,-89.648,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hemlock,Sauk,43.585,-90.133,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
Hill,Sauk,43.164,-90.103,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Honey Creek,Sauk,43.267,-89.822,14,0,1,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Howlett,Sauk,43.451,-89.771,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hoxie,Sauk,43.215,-89.997,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jackson Creek,Sauk,43.473,-89.638,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jantz,Sauk,43.559,-89.705,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Johnson,Sauk,43.347,-89.779,10,0,3,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
Jones,Sauk,43.194,-90.016,25,0,1,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,12,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kingston,Sauk,43.351,-89.794,54,0,3,2,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,35,unknown,0,1,6,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kruger Creek,Sauk,43.366,-89.682,27,0,0,4,0,0,0,0,0,0,0,0,0,1,9,1,3,0,0,0,0,2,destroyed,0,0,0,0,0,0,0,6,0,0,0,0,0,,,,,,,
La Valle Man Mound,Sauk,43.568,-90.091,10,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,destroyed,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,
Langdon,Sauk,43.461,-89.685,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,intact,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lapham,Sauk,43.38,-89.689,12,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
Lapham #2,Sauk,43.382,-89.693,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Leach Creek,Sauk,43.515,-89.685,7,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,intact,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Long Lizard,Sauk,43.457,-89.689,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,partially destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lower Dells,Sauk,43.595,-89.739,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Maple Grove,Sauk,43.444,-89.736,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
May Be,Sauk,43.219,-89.997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
McGann,Sauk,43.479,-89.689,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
McGilvra,Sauk,43.487,-89.706,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Merrimac Moon,Sauk,43.375,-89.648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Merry Mac,Sauk,43.377,-89.626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mink,Sauk,43.384,-89.705,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mosley,Sauk,43.249,-89.826,15,0,1,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,unknown,1,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,
Mother and Cub,Sauk,43.363,-89.659,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,intact,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Newport,Sauk,43.607,-89.769,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,partially destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Norton,Sauk,43.192,-90.032,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oak Hill,Sauk,43.56,-90.081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
Otter Creek,Sauk,43.339,-89.775,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Palisade,Sauk,43.377,-89.635,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paddock,Sauk,43.612,-90.086,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pass,Sauk,43.216,-89.988,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Patterson,Sauk,43.265,-89.819,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pierce,Sauk,43.201,-89.878,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,partially intact,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Poison,Sauk,43.557,-89.683,17,0,2,2,0,4,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,3,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Porter,Sauk,43.545,-89.657,8,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Potter,Sauk,43.465,-89.733,10,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,5,destroyed,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
Prairie,Sauk,43.266,-89.772,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prairie Effigy,Sauk,43.218,-90.006,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ragatz,Sauk,43.3,-89.848,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rainbow,Sauk,43.177,-90.052,9,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
River Bank,Sauk,43.365,-89.662,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
Sauk Prairie,Sauk,43.26,-89.799,8,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,
Saxer,Sauk,43.265,-89.831,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Searl's Creek,Sauk,43.366,-89.677,15,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,intact,0,0,1,0,0,0,0,5,0,0,0,0,0,,,,,,,
Siebecker,Sauk,43.367,-89.697,28,0,3,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,unknown,0,0,2,0,0,0,0,3,0,0,0,1,0,,,,,,,
Skillet's Creek,Sauk,43.457,-89.779,6,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
South Park,Sauk,43.524,-90.007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,intact,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
South Side,Sauk,43.457,-89.749,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,destroyed,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,
Sprecher,Sauk,43.284,-89.907,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Spring Run,Sauk,43.458,-89.693,8,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,partially destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Stage Road,Sauk,43.567,-89.738,11,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,destroyed,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,
Terminal Moraine #1,Sauk,43.43,-89.723,5,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,partially destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Terminal Moraine #2,Sauk,43.43,-89.735,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,intact,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tinkham,Sauk,43.444,-89.761,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Train,Sauk,43.375,-89.672,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tyler,Sauk,43.459,-89.748,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Upper Mill Power,Sauk,43.476,-89.767,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vonburn,Sauk,43.265,-89.836,11,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,partially destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Wiegand Bay,Sauk,43.36,-89.702,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,unknown,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
Williams,Sauk,43.467,-89.738,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,destroyed,0,4,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
Wilson,Sauk,43.205,-89.984,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,destroyed,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
